"filename","object_type","object_name","source_url","source_class","capture_date","license","used_on","mapping_confirmed","hero_alt","download_status","notes"
"game-active-matter-header-01.webp","game-key-art","Active Matter","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/191801a8de4db48075ef195473a922391cb4c6de/header.jpg?t=1789479391","official","2026-09-16","Official promotional asset; copyright retained by publisher; no explicit reuse license found","editions; official-sources","yes","Active Matter promotional key art from the official Steam listing","planned","Use for identification only; not as copied UI branding"
"scene-urban-anomaly-01.webp","theme-scene","Urban zone with floating structures and a spherical anomaly","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/91853a4741926b8b62b1ac5666d7c9e0e0622682/ss_91853a4741926b8b62b1ac5666d7c9e0e0622682.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","home; anomalies hub","no","First-person view of a spherical anomaly above a fractured city","planned","Theme scene only; do not label as a named map"
"scene-forest-combat-01.webp","theme-scene","Combat with glowing humanoid creatures near a greenhouse","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/f7993b1b3a5cb74cc75c1b22a410e37a3024a141/ss_f7993b1b3a5cb74cc75c1b22a410e37a3024a141.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","home; enemies hub","no","First-person combat with glowing humanoid creatures outside an overgrown greenhouse","planned","Creature identity not confirmed from Steam metadata"
"scene-night-road-01.webp","theme-scene","Night road with abandoned vehicles","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/a09517aff651b3db05d80658df410d9e6ebcf37e/ss_a09517aff651b3db05d80658df410d9e6ebcf37e.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","beginner guide; atmosphere","no","First-person view of abandoned cars on a dark forest road","planned","Theme scene only"
"scene-overgrown-city-01.webp","theme-scene","Overgrown city with floating architecture","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/fc703b811e39f7b5bee97c1be6a2c2679331a83b/ss_fc703b811e39f7b5bee97c1be6a2c2679331a83b.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","home; maps hub","no","Overgrown urban street beneath fragmented floating buildings","planned","Do not call this Downtown until mapped by another official source"
"scene-night-creature-01.webp","theme-scene","Creature encounter near wreckage at night","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/aa4210a3329f16efcfeae4df094a300eae90d313/ss_aa4210a3329f16efcfeae4df094a300eae90d313.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","enemies hub","no","Armed operative facing a humanoid creature beside wreckage at dusk","planned","Entity identity not confirmed"
"region-park-01.webp","region","Park","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/6101424a2f2ce98a68ec8b2a8fa9257f6a171e5a/ss_6101424a2f2ce98a68ec8b2a8fa9257f6a171e5a.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","maps hub; Park guide","yes","First-person view beside the Park entrance sign in an overgrown zone","planned","Park mapping confirmed by the visible sign"
"scene-hillside-complex-01.webp","theme-scene","Forested hillside complex","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/f2c0d5ade87f8b09b6d18f459ec10609cc60a084/ss_f2c0d5ade87f8b09b6d18f459ec10609cc60a084.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","maps hub","no","View across a forested hillside toward a large abandoned building","planned","Named location not confirmed"
"scene-stairwell-creature-01.webp","theme-scene","Indoor creature encounter","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/ed67e6f61d0c6164034f89540cf3e3e40fbae1cd/ss_ed67e6f61d0c6164034f89540cf3e3e40fbae1cd.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","enemies hub","no","First-person combat with a distorted humanoid on an apartment stairwell","planned","Do not assign a creature name"
"scene-american-city-01.webp","theme-scene","Overgrown American city street","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2887580/2328a0c7d61db0e239bd61c175cba34da31f004a/ss_2328a0c7d61db0e239bd61c175cba34da31f004a.1920x1080.jpg?t=1789479391","official","2026-09-16","Official Steam screenshot; copyright retained by publisher; no explicit reuse license found","Downtown guide; maps hub","no","Overgrown American city intersection beneath a distorted skyline","planned","Likely Downtown but not independently mapped from Steam metadata"
