page_id,url,first_release,hero_requirement,in_body_requirement,video_requirement,planned_asset_filenames,current_status,gap_or_capture_requirement
P01,/,Yes,"1 official launch/key-art hero","3 official theme scenes","Release trailer rg33e6j3jc8","launch-active-matter-01.webp; scene-urban-anomaly-01.webp; scene-overgrown-city-01.webp; scene-red-zone-combat-01.webp; video-release-trailer-01.webp","Covered","Select final crop after UI approval"
P02,/guides/,Yes,"1 general gameplay scene","None required","None","scene-night-road-01.webp","Covered","Use card system without duplicate imagery where possible"
P03,/guides/beginner-guide/,Yes,"1 general gameplay scene","1 atmosphere/gameplay scene","Gameplay trailer PSC_vBOG_k4 optional","scene-night-road-01.webp; video-gameplay-trailer-01.webp","Covered with scope limit","Exact menu screenshots are not required because page will avoid UI-specific steps"
P04,/guides/how-raids-work/,Yes,"1 extraction-themed official scene","1 explanatory diagram or text flow","None","scene-urban-anomaly-01.webp","Covered","Create an original text/HTML flow; do not invent extraction-map graphics"
P05,/guides/pve-mode/,Yes,"1 official combat scene","Mode comparison table","None","scene-forest-combat-01.webp","Covered","Theme image must not identify unconfirmed creatures"
P06,/guides/raid-modes/,Yes,"1 official action scene","Mode comparison table","None","scene-red-zone-combat-01.webp","Covered","Version-date the table"
P07,/guides/solo-coop/,Yes,"1 official squad/gameplay scene","None required","None","scene-night-creature-01.webp","Covered with scope limit","Avoid exact party-size visual until verified"
P08,/guides/crossplay/,Yes,"Steam/key-art hero or text-first","Platform matrix","None","game-active-matter-header-01.webp","Covered","Cross-progression matrix must follow FAQ"
P09,/game-info/release-date-platforms/,Yes,"Official launch art","Platform icons as text/SVG only","Release trailer optional","launch-active-matter-01.webp; video-release-trailer-01.webp","Covered","No third-party platform logos downloaded without need"
P10,/game-info/editions-price/,Yes,"Official Steam header","Edition comparison table","None","game-active-matter-header-01.webp","Covered","Recheck regional price immediately before build"
P11,/game-info/system-requirements/,Yes,"Text-first or Steam header","Requirements table","None","game-active-matter-header-01.webp","Covered","No hardware-product stock photos"
P12,/game-info/linux-steam-deck/,Yes,"Text-first or Steam header","Compatibility/status table","None","game-active-matter-header-01.webp","Covered","Verification date required"
P13,/game-info/languages-controls/,Yes,"Text-first","Language/audio/controller table","None","game-active-matter-header-01.webp","Covered","No control-map image without current client capture"
P14,/faq/,Yes,"Text-first","Accordion only","None","game-active-matter-header-01.webp","Covered","Keep answers sourced and date-sensitive"
P15,/maps/,Yes,"Official locations overview hero","2 map-theme scenes","None","locations-overview-01.webp; region-park-01.webp; scene-hillside-complex-01.webp","Covered","Theme images must not receive unsupported map labels"
P16,/maps/dalniy-island/,Yes,"Official locations overview","1 mapped Park image plus text cards","None","locations-overview-01.webp; region-park-01.webp","Covered","Group Shegolskoe, Dam and Headquarters because object-level media is not mapped"
P17,/maps/park/,Yes,"Mapped Park image","1 official update image","Gigastructure video optional","region-park-01.webp; update-gigastructure-park-01.webp; video-gigastructure-01.webp","Covered","No spawn or extraction overlay"
P18,/maps/gigastructure/,Yes,"Official Gigastructure update art","1 official section image","Gigastructure video hDRnYi8prEI","update-gigastructure-park-01.webp; update-gigastructure-anomalies-01.webp; video-gigastructure-01.webp","Covered","Use section-level labels only"
P19,/maps/downtown/,Yes,"250 Shades official art","1 urban theme scene","None","update-250-shades-01.webp; scene-american-city-01.webp","Covered with labeling limit","Urban screenshot is theme-level, not independently mapped"
P20,/maps/airport/,No,"Mapped Airport hero","Current launch map/selection screenshot","None","","Blocked","Need object-mapped official or in-game Airport image and useful verified details"
P21,/maps/vanilla-mall/,No,"Mapped Vanilla Mall hero","Current Nexus/map screenshot","None","","Blocked","Need current map and mode evidence"
P22,/enemies/,Yes,"Official enemy/combat scene","2 entity/theme images","Official gameplay trailer optional","scene-forest-combat-01.webp; scene-night-creature-01.webp; update-gigastructure-anomalies-01.webp","Covered with labeling limits","Only named entities supported by official text"
